"Column Name","Label"
"DP4_0032C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999"
"DP4_0032CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999"
"DP4_0033C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989"
"DP4_0033CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989"
"DP4_0034C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979"
"DP4_0034CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979"
"DP4_0035C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969"
"DP4_0035CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969"
"DP4_0036C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959"
"DP4_0036CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959"
"DP4_0037C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949"
"DP4_0037CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949"
"DP4_0038C","Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier"
"DP4_0038CA","Annotation of Number!!YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier"
"DP4_0039C","Number!!ROOMS!!Total housing units"
"DP4_0039CA","Annotation of Number!!ROOMS!!Total housing units"
"DP4_0040C","Number!!ROOMS!!Total housing units!!1 room"
"DP4_0040CA","Annotation of Number!!ROOMS!!Total housing units!!1 room"
"DP4_0041C","Number!!ROOMS!!Total housing units!!2 rooms"
"DP4_0041CA","Annotation of Number!!ROOMS!!Total housing units!!2 rooms"
"DP4_0042C","Number!!ROOMS!!Total housing units!!3 rooms"
"DP4_0042CA","Annotation of Number!!ROOMS!!Total housing units!!3 rooms"
"DP4_0043C","Number!!ROOMS!!Total housing units!!4 rooms"
