CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"06002070001",1297,,1297,1297,0,299,115,2.6,,,,,,,,,,,,,,,1678,,,1678,1678,0,299,115,2.6,,,,,,,,,,,,,,,,,,,
"06002071003",590,,590,590,0,,,,,,,,,,,,,,,,,,790,2020,,790,790,0,,,,,,,,,,,,,,,,,,,,,,
"06002074001",5875,,5875,0,5875,1040,397,2.62,,,,,,,,,,,,,,,6387,2022,,6387,0,6387,520,198,2.62,,,,,,,,,,,,,,,,,,,
"06002075001",12812,,12812,12812,0,,,,,,,,,,,,,,,,,,12227,,,12227,12227,0,,,,,,,,,,,,,,,,,,,,,,
"06002077001",2453,,2453,2453,0,,,,,,,,,,,,,,,,,,2430,,,2430,2430,0,,,,,,,,,,,,,,,,,,,,,,
"06002081001",171700,178300,350000,0,350000,,,,,,,,,,,,,,,,,,191686,2024,194160,385846,0,385846,,,,,,,,,,,,,,,,,,,,,,
"06002084001",40000,,40000,40000,0,,,,,,,,,,,,,,,,,,40000,,,40000,40000,0,,,,,,,,,,,,,,,,,,,,,,
"06002085001",2500,,2500,2500,0,9,4,2.34,,,,,,,,,,,,,,,3000,2022,,3000,3000,0,9,4,2.34,,,,,,,,,,,,,,,,,,,
"06002092001",645,,645,0,645,136,58,2.34,,,,240,,240,0,240,,,,,,,699,2022,,699,0,699,136,58,2.34,,,,,,240,,,240,0,240,,,,,,,,
"06002104001",18649,,18649,18649,0,6853,2501,2.74,,,,,,,,,,,,,,,31013,,,31013,31013,0,6853,2501,2.74,,,,,,,,,,,,,,,,,,,
"06002107001",24727,,24727,24727,0,,,,,,,,,,,,,,,,,,26000,2022,,26000,26000,0,,,,,,,,,,,,,,,,,,,,,,
"06002108001",30000,,30000,0,30000,,,,,,,500,,500,0,500,,,,,,,39000,2022,,39000,0,39000,,,,,,,,,600,2022,,600,0,600,,,,,,,,
"06002110001",30577,,30577,30577,0,,,,,,,,,,,,,,,,,,33616,,,33616,33616,0,,,,,,,,,,,,,,,,,,,,,,
"06002113001",73409,,73409,73409,0,,,,,,,,,,,,,,,,,,75745,2015,,75745,75745,0,,,,,,,,,,,,,,,,,,,,,,
"06002118001",58165,1297,59462,0,59462,,,,,,,,,,,,,,,,,,61558,2022,1678,63236,0,63236,,,,,,,,,,,,,,,,,,,,,,
"06002120001",18560,24727,43287,0,43287,894,325,2.75,,,,,,,,,17000,6250,2.72,,,,19422,2022,26000,45422,0,45422,894,325,2.75,,,,,,18500,,,18500,0,18500,17000,6250,6250,,,,,
"06002122001",27718,,27718,27718,0,,,,,,,6000,,6000,6000,0,,,,,,,28500,,,28500,28500,0,,,,,,,,,8000,,,8000,8000,0,,,,,,,,
"06002123001",,,,,,,,,,,,80000,,80000,0,80000,,,,,,,,,,,,,,,,,,,,,95000,2022,,95000,0,95000,,,,,,,,
"06002125001",,205108,205108,0,205108,,,,,,,,6000,6000,0,6000,,,,,,,,,212725,212725,0,212725,,,,,,,,,,,8000,8000,0,8000,,,,,,,,
"06002134001",,,,,,408,156,2.62,,,,,,,,,,,2.62,,,,,,,,,,507,194,2.62,,,,,,,,,,,,190,73,73,,,,,
"06002152001",1450,,1450,1450,0,,,,,,,,,,,,,,,,,,1500,2020,,1500,1500,0,,,,,,,,,,,,,,,,,,,,,,
"06002156001",7024,,7024,7024,0,,,,,,,,,,,,,,,,,,7512,2022,,7512,7512,0,,,,,,,,,,,,,,,,,,,,,,
"06002157001",30895,,30895,30895,0,,,,,,,,,,,,,,,,,,33513,2022,,33513,33513,0,,,,,,,,,,,,,,,,,,,,,,
"06002166001",220,,220,0,220,,,,,,,,,,,,,,,,,,265,,,265,0,265,,,,,,,,,,,,,,,,,,,,,,
"06003002001",3000,,3000,3000,0,101,36,2.8,,,,,,,,,,,,,,,3900,2022,,3900,3900,0,101,36,2.8,,,,,,,,,,,,,,,,,,,
"06003003001",290,,290,0,290,,,,,,,1100,,1100,0,1100,,,,,,,340,2022,,340,0,340,,,,,,,,,1600,2022,,1600,0,1600,,,,,,,,
"06003004001",43000,,43000,0,43000,2500,1004,2.49,,,,,,,,,,,,,,,45250,2010,,45250,0,45250,2000,803,2.49,,,,,,,,,,,,,,,,,,,
"06003005001",16000,3500,19500,0,19500,13000,5221,2.49,,,,1600,815,2415,0,2415,1195,500,2.39,,,,23520,2022,3710,27230,0,27230,19111,7675,2.49,2022,,,,,2352,2022,815,3167,0,3167,1315,550,550,2022,,,,
"42003061001",2459,,2459,2459,0,,,,,,,,,,,,,,,,,,7801,,265,8066,8066,0,,,,,,,,,,,,,,,,,,,,,,
"42003064003",2002,,2002,2002,0,,,,,,,,,,,,,,,,,,3913,,,3913,3913,0,,,,,,,,,,,,,,,,,,,,,,
"42003066001",809,,809,0,809,,,,,,,,,,,,,,,,,,809,,,809,0,809,,,,,,,,,,,,,,,,,,,,,,
"42003067001",2184,735,2919,0,2919,,,,,,,,,,,,,,,,,,2184,,950,3134,0,3134,,,,,,,,,,,,,,,,,,,,,,
"42003067002",250,,250,250,0,,,,,,,,,,,,,,,,,,250,,,250,250,0,,,,,,,,,,,,,,,,,,,,,,
"42003067003",485,,485,485,0,,,,,,,,,,,,,,,,,,700,,,700,700,0,,,,,,,,,,,,,,,,,,,,,,
"42003069001",11974,,11974,11974,0,,,,,,,,,,,,,,,,,,11974,,,11974,11974,0,,,,,,,,,,,,,,,,,,,,,,
"42003070002",3004,,3004,3004,0,,,,,,,,,,,,,,,,,,5592,,,5592,5592,0,,,,,,,,,,,,,,,,,,,,,,
"42003072003",2422,,2422,2422,0,,,,,,,,,,,,,,,,,,2422,,,2422,2422,0,,,,,,,,,,,,,,,,,,,,,,
"42003075001",4087,,4087,4087,0,,,,,,,,,,,,,,,,,,4087,,,4087,4087,0,,,,,,,,,,,,,,,,,,,,,,
"42003076001",1684,,1684,0,1684,,,,,,,,,,,,,,,,,,3475,,,3475,0,3475,,,,,,,,,,,,,,,,,,,,,,
