CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"47000480002",603,,603,603,0,3109,1346,2.31,,,,,,,,,,,,,,,1000,2015,,1000,1000,0,2839,1229,2.31,2015,,,,,,,,,,,,,,,,,,
"47000142001",1585,,1585,0,1585,3353,1352,2.48,,,,1585,,1585,0,1585,0,,2.66,,,,1856,2032,,1856,0,1856,3353,1352,2.48,,,,,,1856,2032,,1856,0,1856,3596,1352,1352,,,,,
"05000040001",,,,,,450,166,2.71,,,,,,,,,,,,,,,600,,,600,600,0,,,2.71,,,,,,,,,,,,,,,,,,,
"55009528001",,,,,,1863,748,2.49,,,,,,,,,,,,,,,1870,2010,,1870,0,1870,,,2.49,,,,,,,,,,,,,,,,,,,
"42003179002",218,,218,218,0,,,,,,,,,,,,,,,,,,218,,,218,218,0,,,,,,,,,,,,,,,,,,,,,,
"55003650003",,3802,3802,0,3802,,,,,,,,,,,,,,,,,,,,4422,4422,0,4422,,,,,,,,,,,,,,,,,,,,,,
"29002368001",478,200,678,0,678,,,,,,,1500,,1500,0,1500,,,,,,,1060,,290,1350,0,1350,,,,,,,,,5000,,,5000,0,5000,,,,,,,,
"55013263001",1,1953,1954,0,1954,,,,,,,,2740,2740,0,2740,,,,,,,1,,2053,2054,0,2054,,,,,,,,,,,3010,3010,0,3010,,,,,,,,
"55000880002",104,,104,104,0,,,,,,,,,,,,,,,,,,110,,,110,110,0,,,,,,,,,,,,,,,,,,,,,,
"42002103004",70,,70,70,0,,,,,,,,,,,,,,,,,,70,,,70,70,0,,,,,,,,,,,,,,,,,,,,,,
"42003011002",880,,880,0,880,,,,,,,,,,,,,,,,,,880,,,880,0,880,,,,,,,,,,,,,,,,,,,,,,
"41000560001",200,,200,0,200,,,,,,,,,,,,,,,,,,200,,,200,0,200,,,,,,,,,,,,,,,,,,,,,,
"47001507001",,,,,,,,,138,55,2.5,,,,,,,,,,,,,,,,,,,,,,160,64,2.5,2018,,,,,,,,,,,,,,
"29002372001",2628,,2628,2628,0,239,100,2.39,,,,,,,,,,,,,,,2628,,,2628,2628,0,239,100,2.39,,,,,,,,,,,,,,,,,,,
"48003040004",,,,,,,,,,,,,,,,,,,,,,,24000,,,24000,24000,0,,,,,,,,,,,,,,,,,,,,,,
"06003094001",17291,,17291,17291,0,100,40,2.49,,,,,,,,,,,,,,,19000,2022,,19000,19000,0,90,36,2.49,2020,,,,,,,,,,,,,,,,,,
"42007569021",,,,,,50,21,2.36,,,,,,,,,,,,,,,50,,,50,50,0,,,2.36,,,,,,,,,,,,,,,,,,,
"32000200405",,,,,,,,,,,,,,,,,,,,,,,6000,,,6000,6000,0,,,,,,,,,,,,,,,,,,,,,,
"32000200408",6500,,6500,0,6500,,,,,,,,,,,,,,,,,,7500,2020,12300,19800,0,19800,,,,,,,,,,,,,,,,,,,,,,
"16000082101",86,,86,0,86,,,,,,,,,,,,,,,,,,125,,,125,0,125,,,,,,,,,,,,,,,,,,,,,,
"44000027004",,,,,,57808,23595,2.45,,,,,,,,,,,,,,,,,,,,,46502,18980,2.45,,,,,,,,,,,,,,,,,,,
"40000124001",10490,,10490,10490,0,,,,,,,,,,,,,,,,,,11550,2025,,11550,11550,0,,,,,,,,,,,,,,,,,,,,,,
"37005111001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,211,211,0,,,,,,,,
"37005402001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,,,717,717,0,,,,,,,,
"37007111001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,,,435,435,0,,,,,,,,
"37008704001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,125,125,0,,,,,,,,
"37000002001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,,,1225,0,1225,,,,,,,,
"42004031002",3000,,3000,3000,0,,,,,,,,,,,,,,,,,,3052,,,3052,3052,0,,,,,,,,,,,,,,,,,,,,,,
"20002004033",,,,,,924,424,2.18,,,,,,,,,,,,,,,,,,,,,739,339,2.18,,,,,,,,,,,,,,,,,,,
"20002004035",,,,,,1629,662,2.46,,,,,,,,,,,,,,,,,,,,,2691,1094,2.46,2032,,,,,,,,,,,,,,,,,,
"20002004037",,,,,,4965,2113,2.35,,,,,,,,,,,,,,,,,,,,,3972,1690,2.35,,,,,,,,,,,,,,,,,,,
"20002004039",,,,,,1608,718,2.24,,,,,,,,,,,,,,,,,,,,,1286,574,2.24,,,,,,,,,,,,,,,,,,,
"20002004041",,,,,,4011,1671,2.4,,,,,,,,,,,,,,,,,,,,,3209,1337,2.4,,,,,,,,,,,,,,,,,,,
"20002004043",,,,,,2817,1136,2.48,,,,,,,,,,,,,,,,,,,,,2254,909,2.48,,,,,,,,,,,,,,,,,,,
"20002004045",,,,,,4026,1699,2.37,,,,,,,,,,,,,,,,,,,,,3221,1359,2.37,,,,,,,,,,,,,,,,,,,
"20002004047",,,,,,1515,650,2.33,,,,,,,,,,,,,,,,,,,,,1212,520,2.33,,,,,,,,,,,,,,,,,,,
"20002004049",,,,,,1332,592,2.25,,,,,,,,,,,,,,,,,,,,,1066,474,2.25,,,,,,,,,,,,,,,,,,,
"20002004051",,,,,,3294,1402,2.35,,,,,,,,,,,,,,,,,,,,,2635,1121,2.35,,,,,,,,,,,,,,,,,,,
"20002004053",,,,,,2634,1145,2.3,,,,,,,,,,,,,,,,,,,,,2107,916,2.3,,,,,,,,,,,,,,,,,,,
"20002004055",,,,,,3588,1161,3.09,,,,,,,,,,,,,,,,,,,,,2870,929,3.09,,,,,,,,,,,,,,,,,,,
"20002004057",,,,,,2535,868,2.92,,,,,,,,,,,,,,,,,,,,,2028,695,2.92,,,,,,,,,,,,,,,,,,,
"20002004061",,,,,,3648,1398,2.61,,,,,,,,,,,,,,,,,,,,,2918,1118,2.61,,,,,,,,,,,,,,,,,,,
"20002004063",,,,,,1290,533,2.42,,,,,,,,,,,,,,,,,,,,,1032,426,2.42,,,,,,,,,,,,,,,,,,,
"20002004065",,,,,,1416,621,2.28,,,,,,,,,,,,,,,,,,,,,1133,497,2.28,,,,,,,,,,,,,,,,,,,
"20002004067",,,,,,654,229,2.86,,,,,,,,,,,,,,,,,,,,,523,183,2.86,,,,,,,,,,,,,,,,,,,
"20002004069",,,,,,2157,765,2.82,,,,,,,,,,,,,,,,,,,,,1726,612,2.82,,,,,,,,,,,,,,,,,,,
"20002004071",,,,,,711,284,2.5,,,,,,,,,,,,,,,,,,,,,569,228,2.5,,,,,,,,,,,,,,,,,,,
"20002004073",,,,,,1950,844,2.31,,,,,,,,,,,,,,,,,,,,,1560,675,2.31,,,,,,,,,,,,,,,,,,,
"20002004075",,,,,,954,383,2.49,,,,,,,,,,,,,,,,,,,,,763,306,2.49,,,,,,,,,,,,,,,,,,,
"20002004077",,,,,,1842,801,2.3,,,,,,,,,,,,,,,,,,,,,1474,641,2.3,,,,,,,,,,,,,,,,,,,
"20002004079",,,,,,4527,1811,2.5,,,,,,,,,,,,,,,,,,,,,3622,1449,2.5,,,,,,,,,,,,,,,,,,,
"42005063010",2619,,2619,2619,0,,,,,,,,,,,,,,,,,,2619,,,2619,2619,0,,,,,,,,,,,,,,,,,,,,,,
"20002004081",,,,,,1554,540,2.88,,,,,,,,,,,,,,,,,,,,,1243,432,2.88,,,,,,,,,,,,,,,,,,,
"42005440010",,,,,,800,329,2.43,,,,,,,,,,,,,,,800,,,800,0,800,,,2.43,,,,,,,,,,,,,,,,,,,
"55009615010",347,,347,347,0,,,,,,,410,,410,410,0,,,,,,,406,2025,,406,406,0,,,,,,,,,450,,,450,450,0,,,,,,,,
"55009610010",40,,40,40,0,,,,,,,,,,,,,,,,,,150,2025,,150,150,0,,,,,,,,,,,,,,,,,,,,,,
"55009610100",992,,992,992,0,,,,,,,,,,,,,,,,,,1523,2020,,1523,1523,0,,,,,,,,,,,,,,,,,,,,,,
"20002004085",,,,,,3330,1266,2.63,,,,,,,,,,,,,,,,,,,,,2664,1013,2.63,,,,,,,,,,,,,,,,,,,
"20002004087",,,,,,6360,2391,2.66,,,,,,,,,,,,,,,,,,,,,5088,1913,2.66,,,,,,,,,,,,,,,,,,,
"20002004089",,,,,,1701,770,2.21,,,,,,,,,,,,,,,,,,,,,1361,616,2.21,,,,,,,,,,,,,,,,,,,
"20002004091",,,,,,8532,3333,2.56,,,,,,,,,,,,,,,,,,,,,6826,2666,2.56,,,,,,,,,,,,,,,,,,,
"55009609010",64,,64,64,0,,,,,,,,,,,,,,,,,,59,2020,,59,59,0,,,,,,,,,,,,,,,,,,,,,,
"20002004093",,,,,,1611,554,2.91,,,,,,,,,,,,,,,,,,,,,1289,443,2.91,,,,,,,,,,,,,,,,,,,
"20002004095",,,,,,2037,812,2.51,,,,,,,,,,,,,,,,,,,,,1630,649,2.51,,,,,,,,,,,,,,,,,,,
"20002004097",,,,,,1464,631,2.32,,,,,,,,,,,,,,,,,,,,,1171,505,2.32,,,,,,,,,,,,,,,,,,,
"20002004099",,,,,,4707,1969,2.39,,,,,,,,,,,,,,,,,,,,,3766,1576,2.39,,,,,,,,,,,,,,,,,,,
"20002004101",,,,,,951,406,2.34,,,,,,,,,,,,,,,,,,,,,761,325,2.34,,,,,,,,,,,,,,,,,,,
"20002004103",,,,,,7500,2788,2.69,,,,,,,,,,,,,,,,,,,,,6000,2230,2.69,,,,,,,,,,,,,,,,,,,
"20002004105",,,,,,1461,638,2.29,,,,,,,,,,,,,,,,,,,,,1169,510,2.29,,,,,,,,,,,,,,,,,,,
"20002004107",,,,,,3300,1331,2.48,,,,,,,,,,,,,,,,,,,,,2640,1065,2.48,,,,,,,,,,,,,,,,,,,
"20002004109",,,,,,1233,514,2.4,,,,,,,,,,,,,,,,,,,,,986,411,2.4,,,,,,,,,,,,,,,,,,,
"42005059010",650,1600,2250,2250,0,,,,,,,,,,,,,,,,,,650,,1600,2250,2250,0,,,,,,,,,,,,,,,,,,,,,,
"20002004111",,,,,,3687,1469,2.51,,,,,,,,,,,,,,,,,,,,,2950,1175,2.51,,,,,,,,,,,,,,,,,,,
"08000500047",,,,,,251,107,2.35,,,,,,,,,,,,,,,251,,,251,0,251,,,2.35,,,,,,,,,,,,,,,,,,,
"08000500049",,,,,,,,,,,,,,,,,,,,,,,487,2012,,487,487,0,,,,,,,,,,,,,,,,,,,,,,
"08000500054",,,,,,,,,,,,125,,125,125,0,,,,,,,,,,,,,,,,,,,,,125,2012,,125,125,0,,,,,,,,
"08000500060",,79779,79779,0,79779,,,,,,,,,,,,,,,,,,,,79779,79779,0,79779,,,,,,,,,,,,,,,,,,,,,,
"08000500061",1600,,1600,0,1600,,,,,,,,,,,,,,,,,,1970,,,1970,0,1970,,,,,,,,,,,,,,,,,,,,,,
"08000500062",1500,,1500,0,1500,,,,,,,,,,,,,,,,,,2000,,,2000,0,2000,,,,,,,,,,,,,,,,,,,,,,
"48001132001",1200,39404,40604,0,40604,,,,,,,,,,,,,,,,,,1800,,61035,62835,0,62835,,,,,,,,,,,,,,,,,,,,,,
"04000101001",570,,570,0,570,71,20,3.53,,,,,,,,,,,,,,,3000,,,3000,0,3000,,,3.53,,,,,,,,,,,,,,,,,,,
"04000101002",1200,,1200,0,1200,,,,,,,,,,,,,,,,,,1200,,,1200,0,1200,,,,,,,,,,,,,,,,,,,,,,
"04000106001",1767,,1767,0,1767,226,64,3.53,,,,,,,,,,,,,,,2900,,,2900,0,2900,60,17,3.53,,,,,,,,,,,,,,,,,,,
"04000302002",5434,,5434,0,5434,,,,,,,,,,,,,,,,,,7142,,,7142,0,7142,,,,,,,,,,,,,,,,,,,,,,
"04000306001",1940,,1940,0,1940,1115,437,2.55,,,,,,,,,80,31,2.55,,,,2162,2032,,2162,0,2162,,,2.55,,,,,,80,,,80,0,80,,,,,,,,
"04000311001",44043,,44043,0,44043,4799,1882,2.55,,,,,,,,,,,,,,,74815,2032,,74815,0,74815,4799,1882,2.55,,,,,,,,,,,,,,,,,,,
"04000314001",3757,,3757,0,3757,,,,,,,50,,50,0,50,,,,,,,4233,2032,,4233,0,4233,,,,,,,,,200,,,200,0,200,,,,,,,,
"04000501002",66000,,66000,0,66000,,,,,,,,,,,,,,,,,,150000,,,150000,0,150000,,,,,,,,,,,,,,,,,,,,,,
"04000502001",1300,,1300,0,1300,165,59,2.8,,,,,,,,,,,,,,,1349,2032,,1349,0,1349,199,71,2.8,,,,,,,,,,,,,,,,,,,
"04000506001",7427,,7427,0,7427,414,150,2.76,,,,,,,,,,,,,,,8084,2032,,8084,0,8084,414,150,2.76,,,,,,,,,,,,,,,,,,,
"04000507001",3000,,3000,0,3000,,,,,,,,,,,,,,,,,,2900,2031,,2900,0,2900,,,,,,,,,,,,,,,,,,,,,,
"04000511001",3425,,3425,0,3425,,,,,,,,,,,,,,,,,,3425,,,3425,0,3425,,,,,,,,,,,,,,,,,,,,,,
"42001306101",,,,,,150,64,2.36,,,,,,,,,,,,,,,150,,,150,0,150,,,2.36,,,,,,,,,,,,,,,,,,,
"32000200416",,,,,,,,,,,,,,,,,,,,,,,12300,,,12300,12300,0,,,,,,,,,,,,,,,,,,,,,,
"36009084002",300,,300,300,0,7023,2914,2.41,,,,,,,,,,,,,,,500,,,500,500,0,7200,2988,2.41,,,,,,,,,,,,,,,,,,,
"55000650001",650,,650,0,650,,,,,,,200,,200,0,200,,,,,,,1400,2032,,1400,0,1400,,,,,,,,,200,,,200,0,200,,,,,,,,
"20000193004",,,,,,,,,,,,,,,,,,,,,,,3634,2024,,3634,0,3634,,,,,,,,,,,,,,,,,,,,,,
"20000193005",,,,,,,,,,,,,,,,,,,,,,,1030,2024,,1030,0,1030,,,,,,,,,,,,,,,,,,,,,,
"20000193003",4000,,4000,0,4000,,,,,,,,,,,,,,,,,,7000,2024,,7000,0,7000,,,,,,,,,,,,,,,,,,,,,,
"55009898002",5500,496,5996,5996,0,,,,,,,,,,,,,,,,,,6197,2020,594,6791,6791,0,,,,,,,,,,,,,,,,,,,,,,
"55009898003",100,,100,100,0,,,,,,,,,,,,,,,,,,150,,,150,150,0,,,,,,,,,,,,,,,,,,,,,,
"55001310010",8335,,8335,8335,0,,,,,,,,,,,,,,,,,,9898,2025,,9898,9898,0,,,,,,,,,,,,,,,,,,,,,,
"55001310015",1000,,1000,1000,0,,,,,,,614,,614,614,0,,,,,,,1100,,,1100,1100,0,,,,,,,,,700,,,700,700,0,,,,,,,,
"55001310025",250,,250,250,0,,,,,,,,,,,,,,,,,,255,,,255,255,0,,,,,,,,,,,,,,,,,,,,,,
"20002004113",,,,,,4707,1890,2.49,,,,,,,,,,,,,,,,,,,,,3766,1512,2.49,,,,,,,,,,,,,,,,,,,
"20002004115",,,,,,4110,1671,2.46,,,,,,,,,,,,,,,,,,,,,3288,1337,2.46,,,,,,,,,,,,,,,,,,,
"20002004117",,,,,,3339,1391,2.4,,,,,,,,,,,,,,,,,,,,,2671,1113,2.4,,,,,,,,,,,,,,,,,,,
"42005059011",1600,,1600,1600,0,,,,,,,,,,,,,,,,,,1600,,,1600,1600,0,,,,,,,,,,,,,,,,,,,,,,
"20002004119",,,,,,1698,651,2.61,,,,,,,,,,,,,,,,,,,,,1358,520,2.61,,,,,,,,,,,,,,,,,,,
"20002004121",,,,,,5670,2132,2.66,,,,,,,,,,,,,,,,,,,,,4536,1705,2.66,,,,,,,,,,,,,,,,,,,
"20002004123",,,,,,1254,543,2.31,,,,,,,,,,,,,,,,,,,,,1003,434,2.31,,,,,,,,,,,,,,,,,,,
"20002004126",,,,,,6354,2681,2.37,,,,,,,,,,,,,,,,,,,,,5083,2145,2.37,,,,,,,,,,,,,,,,,,,
"20002004127",,,,,,2478,1046,2.37,,,,,,,,,,,,,,,,,,,,,1982,836,2.37,,,,,,,,,,,,,,,,,,,
"20002004129",,,,,,1392,529,2.63,,,,,,,,,,,,,,,,,,,,,1114,424,2.63,,,,,,,,,,,,,,,,,,,
"20002004131",,,,,,4191,1624,2.58,,,,,,,,,,,,,,,,,,,,,3353,1300,2.58,,,,,,,,,,,,,,,,,,,
"20002004133",,,,,,3018,1232,2.45,,,,,,,,,,,,,,,,,,,,,2414,985,2.45,,,,,,,,,,,,,,,,,,,
"20002004135",,,,,,1614,724,2.23,,,,,,,,,,,,,,,,,,,,,1291,579,2.23,,,,,,,,,,,,,,,,,,,
"20002004137",,,,,,1173,514,2.28,,,,,,,,,,,,,,,,,,,,,938,411,2.28,,,,,,,,,,,,,,,,,,,
"44440002105",,,,,,10324,4163,2.48,,,,,,,,,,,,,,,,,,,,,10324,4163,2.48,,,,,,,,,,,,,,,,,,,
"20002004139",,,,,,5025,1978,2.54,,,,,,,,,,,,,,,,,,,,,4020,1583,2.54,,,,,,,,,,,,,,,,,,,
"44440002301",,,,,,4274,1723,2.48,,,,,,,,,,,,,,,,,,,,,4274,1723,2.48,,,,,,,,,,,,,,,,,,,
"36001304001",,,,,,0,,3.09,,,,,,,,,,,,,,,,,,,,,10627,3439,3.09,,,,,,,,,,,,,,,,,,,
"20002004141",,,,,,1947,873,2.23,,,,,,,,,,,,,,,,,,,,,1558,699,2.23,,,,,,,,,,,,,,,,,,,
"20002004143",,,,,,2253,916,2.46,,,,,,,,,,,,,,,,,,,,,1802,733,2.46,,,,,,,,,,,,,,,,,,,
"20002004145",,,,,,1227,531,2.31,,,,,,,,,,,,,,,,,,,,,982,425,2.31,,,,,,,,,,,,,,,,,,,
"20002004149",,,,,,4911,1853,2.65,,,,,,,,,,,,,,,,,,,,,3929,1483,2.65,,,,,,,,,,,,,,,,,,,
"20002004151",,,,,,1206,513,2.35,,,,,,,,,,,,,,,,,,,,,965,411,2.35,,,,,,,,,,,,,,,,,,,
"20002004153",,,,,,1362,595,2.29,,,,,,,,,,,,,,,,,,,,,1090,476,2.29,,,,,,,,,,,,,,,,,,,
"20002004155",,,,,,9231,3830,2.41,,,,,,,,,,,,,,,,,,,,,7385,3064,2.41,,,,,,,,,,,,,,,,,,,
"20002004157",,,,,,1578,708,2.23,,,,,,,,,,,,,,,,,,,,,1262,566,2.23,,,,,,,,,,,,,,,,,,,
"20002004159",,,,,,2769,1135,2.44,,,,,,,,,,,,,,,,,,,,,2215,908,2.44,,,,,,,,,,,,,,,,,,,
"20002004161",,,,,,6963,2877,2.42,,,,,,,,,,,,,,,,,,,,,5570,2302,2.42,,,,,,,,,,,,,,,,,,,
"20002004163",,,,,,2415,1041,2.32,,,,,,,,,,,,,,,,,,,,,1932,833,2.32,,,,,,,,,,,,,,,,,,,
"20002004165",,,,,,1536,686,2.24,,,,,,,,,,,,,,,,,,,,,1229,549,2.24,,,,,,,,,,,,,,,,,,,
"20002004167",,,,,,1221,548,2.23,,,,,,,,,,,,,,,,,,,,,977,438,2.23,,,,,,,,,,,,,,,,,,,
"20002004169",,,,,,2817,1159,2.43,,,,,,,,,,,,,,,,,,,,,2254,928,2.43,,,,,,,,,,,,,,,,,,,
"20002004171",,,,,,618,251,2.46,,,,,,,,,,,,,,,,,,,,,494,201,2.46,,,,,,,,,,,,,,,,,,,
"28001578004",,,,,,,,,,,,,,,,,,,,,,,,,6759,6759,6759,0,,,,,,,,,,,,,,,,,,,,,,
"20002004173",,,,,,17325,6848,2.53,,,,,,,,,,,,,,,,,,,,,13860,5478,2.53,,,,,,,,,,,,,,,,,,,
"20002004175",,,,,,867,291,2.98,,,,,,,,,,,,,,,,,,,,,694,233,2.98,,,,,,,,,,,,,,,,,,,
"20002004177",,,,,,11301,4728,2.39,,,,,,,,,,,,,,,,,,,,,9041,3783,2.39,,,,,,,,,,,,,,,,,,,
"20002004179",,,,,,1218,495,2.46,,,,,,,,,,,,,,,,,,,,,974,396,2.46,,,,,,,,,,,,,,,,,,,
"20002004183",,,,,,2031,895,2.27,,,,,,,,,,,,,,,,,,,,,1625,716,2.27,,,,,,,,,,,,,,,,,,,
"20002004185",,,,,,2145,917,2.34,,,,,,,,,,,,,,,,,,,,,1716,733,2.34,,,,,,,,,,,,,,,,,,,
"20002004187",,,,,,933,341,2.74,,,,,,,,,,,,,,,,,,,,,746,272,2.74,,,,,,,,,,,,,,,,,,,
"20002004189",,,,,,720,265,2.72,,,,,,,,,,,,,,,,,,,,,576,212,2.72,,,,,,,,,,,,,,,,,,,
"20002004191",,,,,,6489,2515,2.58,,,,,,,,,,,,,,,,,,,,,5191,2012,2.58,,,,,,,,,,,,,,,,,,,
"20002004193",,,,,,1146,468,2.45,,,,,,,,,,,,,,,,,,,,,917,374,2.45,,,,,,,,,,,,,,,,,,,
"20002004195",,,,,,1479,652,2.27,,,,,,,,,,,,,,,,,,,,,1183,521,2.27,,,,,,,,,,,,,,,,,,,
"20002004197",,,,,,2640,1027,2.57,,,,,,,,,,,,,,,,,,,,,2112,822,2.57,,,,,,,,,,,,,,,,,,,
"20002004199",,,,,,729,285,2.56,,,,,,,,,,,,,,,,,,,,,583,228,2.56,,,,,,,,,,,,,,,,,,,
"20002004201",,,,,,2829,1204,2.35,,,,,,,,,,,,,,,,,,,,,2263,963,2.35,,,,,,,,,,,,,,,,,,,
"20002004203",,,,,,1104,426,2.59,,,,,,,,,,,,,,,,,,,,,883,341,2.59,,,,,,,,,,,,,,,,,,,
"29004059501",,,,,,50,21,2.4,2,1,2.4,,,,,,2,1,2.4,2,1,2.4,,,,,,,50,21,2.4,2023,2,1,2.4,2008,,,,,,,2,1,1,2008,2,1,1,2008
"49000901005",,,,,,734,200,3.67,,,,,,,,,,,,,,,,,,,,,1338,365,3.67,2030,,,,,,,,,,,,,,,,,,
"42000137002",,,,,,200,79,2.54,,,,,,,,,,,,,,,200,,,200,0,200,,,2.54,,,,,,,,,,,,,,,,,,,
"48004110002",23000,,23000,23000,0,,,,,,,,,,,,,,,,,,23500,,,23500,23500,0,,,,,,,,,,,,,,,,,,,,,,
"42005155002",330,,330,330,0,,,,,,,,,,,,,,,,,,330,,,330,330,0,,,,,,,,,,,,,,,,,,,,,,
"20002004205",,,,,,1941,809,2.4,,,,,,,,,,,,,,,,,,,,,1553,647,2.4,,,,,,,,,,,,,,,,,,,
"20002004207",,,,,,1747,780,2.24,,,,,,,,,,,,,,,,,,,,,1318,588,2.24,,,,,,,,,,,,,,,,,,,
"20002004209",,,,,,720,275,2.62,,,,,,,,,,,,,,,,,,,,,576,220,2.62,,,,,,,,,,,,,,,,,,,
"39001660036",,,,,,2267,849,2.67,,,,,,,,,,,,,,,214,,,214,214,0,2053,769,2.67,,,,,,,,,,,,,,,,,,,
"28001763001",548,,548,0,548,,,,,,,,,,,,,,,,,,548,,,548,0,548,,,,,,,,,,,,,,,,,,,,,,
"42007479002",,,,,,60,22,2.69,,,,,,,,,,,,,,,60,,,60,60,0,,,2.69,,,,,,,,,,,,,,,,,,,
"42001143002",246,,246,0,246,,,,,,,,,,,,,,,,,,246,,,246,0,246,,,,,,,,,,,,,,,,,,,,,,
"29004012000",,,,,,1135,469,2.42,,,,,,,,,250,103,2.42,,,,1720,2024,,1720,0,1720,82,34,2.42,2024,,,,,,,,,,,,,,,,,,
"56000500001",1807,,1807,0,1807,,,,,,,,,,,,,,,,,,5000,2032,,5000,0,5000,,,,,,,,,,,,,,,,,,,,,,
"56000099019",50,,50,50,0,,,,,,,25,,25,25,0,,,,,,,50,,,50,50,0,,,,,,,,,25,,,25,25,0,,,,,,,,
"56000099020",96,,96,0,96,,,,,,,,,,,,,,,,,,96,,,96,0,96,,,,,,,,,,,,,,,,,,,,,,
"56000099022",1075,,1075,1075,0,,,,,,,,,,,,,,,,,,1400,,,1400,1400,0,,,,,,,,,,,,,,,,,,,,,,
"56000099023",143,,143,143,0,,,,,,,,,,,,,,,,,,143,,,143,143,0,,,,,,,,,,,,,,,,,,,,,,
"56000099026",478,,478,478,0,,,,,,,,,,,,,,,,,,678,,,678,678,0,,,,,,,,,,,,,,,,,,,,,,
"56000099030",1482,,1482,1482,0,,,,,,,,,,,,,,,,,,1600,,,1600,1600,0,,,,,,,,,,,,,,,,,,,,,,
"08000410001",3000,,3000,0,3000,,,,,,,,,,,,,,,,,,3000,,,3000,0,3000,,,,,,,,,,,,,,,,,,,,,,
"08000500015",,,,,,,,,,,,,,,,,,,,,,,35,,,35,35,0,,,,,,,,,,,,,,,,,,,,,,
"08000500016",,,,,,,,,,,,,,,,,,,,,,,398,,,398,0,398,,,,,,,,,,,,,,,,,,,,,,
"08000500034",,,,,,,,,,,,,,,,,,,,,,,42,2013,,42,0,42,,,,,,,,,,,,,,,,,,,,,,
"08000500041",200,,200,0,200,,,,,,,,,,,,,,,,,,200,,,200,0,200,,,,,,,,,,,,,,,,,,,,,,
"27044000112",96,,96,0,96,,,,,,,,,,,,,,,,,,135,2032,,135,0,135,,,,,,,,,,,,,,,,,,,,,,
"28001792501",,,,,,220,68,3.24,,,3.24,,,,,,,,,,,,,,,,,,,,3.24,,220,68,3.24,2028,,,,,,,,,,,,,,
"28000799001",,,,,,250,96,2.6,,,,,,,,,,,,,,,260,2028,,260,0,260,,,2.6,,,,,,,,,,,,,,,,,,,
"28001777001",,46048,46048,46048,0,,,,,,,,,,,,,,,,,,,,79405,79405,79405,0,,,,,,,,,,,,,,,,,,,,,,
"28001536001",,,,,,117,37,3.15,,,,,,,,,,,,,,,,,,,,,117,37,3.15,2028,,,,,,,,,,,,,,,,,,
"28000531004",519,,519,0,519,,,,,,,,,,,,,,,,,,519,,,519,0,519,,,,,,,,,,,,,,,,,,,,,,
"28000122001",2055,,2055,0,2055,213,84,2.53,,,,,,,,,,,,,,,2267,,,2267,0,2267,149,59,2.53,2028,,,,,,,,,,,,,,,,,,
