,county_subdivision_name,county_subdivision_fips,county_fips,num_septic_tanks,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
264,Southwest Orange,93198,95,5164,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Central
265,Space Center,93224,9,2,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
266,Spring Hill,93230,53,14454,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Outlying
267,St. Augustine,93016,109,8005,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Outlying
268,St. Cloud,93029,97,4119,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
269,St. Pete Beach,93036,103,2,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
270,St. Petersburg,93042,103,140,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
271,Starke,93237,7,628,,,Rural Area,
272,Stuart,93250,85,4140,38940.0,"Port St. Lucie, FL",Metropolitan Statistical Area,Central
273,Sunshine Parkway,93276,99,1949,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
274,Tallahassee Central,93295,73,76,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
275,Tallahassee East,93302,73,76,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
276,Tallahassee Northeast,93315,73,106,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
277,Tallahassee Northwest,93328,73,78,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
278,Tallahassee South,93335,73,583,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
279,Tallahassee Southwest,93354,73,194,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
280,Tampa,93367,57,7338,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
281,Tarpon Springs,93380,103,1068,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
282,Tavares,93393,69,808,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
283,Titusville,93419,9,684,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
284,Trenton,93432,41,1020,23540.0,"Gainesville, FL",Metropolitan Statistical Area,Outlying
285,Umatilla,93445,69,2489,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
286,Union Park,93458,95,2337,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Central
287,Upper Keys,93471,87,5131,28580.0,"Key West, FL",Micropolitan Statistical Area,Central
288,Venice,93484,115,1149,35840.0,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Central
289,Vernon,93497,133,1770,,,Rural Area,
290,Vero Beach,93510,61,12412,42680.0,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,Central
291,Wacissa,93523,65,457,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Outlying
292,Waldo,93536,1,820,23540.0,"Gainesville, FL",Metropolitan Statistical Area,Central
293,Walton Beaches,93542,131,1089,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
294,Wauchula,93549,49,499,48100.0,"Wauchula, FL",Micropolitan Statistical Area,Central
295,West Brevard,93588,9,146,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
296,West Calhoun,93592,13,296,,,Rural Area,
297,West Holmes,93596,59,556,,,Rural Area,
298,West Liberty,93601,77,159,,,Rural Area,
299,West Palm Beach,93614,99,1437,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
300,West St. Lucie,93620,111,140,38940.0,"Port St. Lucie, FL",Metropolitan Statistical Area,Central
301,West Wakulla,93627,129,323,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Outlying
302,Western Community,93594,99,3521,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
303,Wewahitchka,93640,45,770,37460.0,"Panama City, FL",Metropolitan Statistical Area,Outlying
304,White Springs,93653,47,166,,,Rural Area,
305,Whiting Field,93659,113,12,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
306,Wildwood,93666,119,1356,45540.0,"The Villages, FL",Metropolitan Statistical Area,Central
307,Williston-Bronson,93679,75,3108,,,Rural Area,
308,Wimauma-Riverview,93693,57,3244,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
309,Winter Garden-Ocoee,93705,95,2998,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Central
310,Winter Haven-Auburndale,93718,105,4994,29460.0,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Central
311,Worthington Springs,93731,125,152,,,Rural Area,
312,Youngstown,93744,5,1210,37460.0,"Panama City, FL",Metropolitan Statistical Area,Central
313,Yulee,93757,89,2264,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Outlying
314,Zephyrhills,93770,101,3123,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
315,Zolfo Springs,93783,49,648,48100.0,"Wauchula, FL",Micropolitan Statistical Area,Central
