,county_subdivision_name,county_subdivision_fips,county_fips,num_septic_tanks,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
65,DeBary-Orange City,90793,127,4273,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
66,DeFuniak Springs,90819,131,1516,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
67,DeLand,90832,127,4949,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
68,Deerfield Beach,90806,11,596,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
69,Deltona,90845,127,12529,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
70,Dowling Park,90858,121,1072,,,Rural Area,
71,Dunnellon,90871,83,376,36100.0,"Ocala, FL",Metropolitan Statistical Area,Central
72,East Leon,90878,73,2867,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Central
73,East Liberty,90884,77,57,,,Rural Area,
74,East Marion,90897,83,419,36100.0,"Ocala, FL",Metropolitan Statistical Area,Central
75,East Milton,90903,113,1780,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
76,East Orange,90910,95,1871,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Central
77,East Palatka,90923,107,1001,37260.0,"Palatka, FL",Micropolitan Statistical Area,Central
78,East Wakulla,90949,129,1616,45220.0,"Tallahassee, FL",Metropolitan Statistical Area,Outlying
79,Eastpoint,90936,37,323,,,Rural Area,
80,Eglin AFB,90962,91,52,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
81,Eglin AFB,90964,113,52,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
82,Englewood,90975,115,135,35840.0,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Central
83,Estero Island,90988,71,7,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
84,Esto-Noma,91001,59,350,,,Rural Area,
85,Eustis,91014,69,1396,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
86,Everglades,91040,86,697,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
87,Everglades,91027,21,697,34940.0,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,Central
88,Fellowship,91053,83,612,36100.0,"Ocala, FL",Metropolitan Statistical Area,Central
89,Fellsmere,91066,61,3156,42680.0,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,Central
90,Fernandina Beach,91079,89,763,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Outlying
91,Flagler Beach,91092,35,823,19660.0,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Central
92,Fort Lauderdale,91098,11,2273,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
93,Fort McCoy-Anthony,91105,83,379,36100.0,"Ocala, FL",Metropolitan Statistical Area,Central
94,Fort Myers,91131,71,456,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
95,Fort Myers Shores,91144,71,189,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
96,Fort Pierce,91157,111,1058,38940.0,"Port St. Lucie, FL",Metropolitan Statistical Area,Central
97,Fort Walton Beach,91170,91,331,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
