,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
2813,TX,48,Parmer,Parmer County,369,0.0,0.0,False,,,Rural Area,
2814,TX,48,Clay,Clay County,77,2400.0,0.0,True,48660.0,"Wichita Falls, TX",Metropolitan Statistical Area,Outlying
2815,TX,48,Irion,Irion County,235,780.0,0.0,True,41660.0,"San Angelo, TX",Metropolitan Statistical Area,Outlying
2816,TX,48,Hockley,Hockley County,219,0.0,0.0,False,30220.0,"Levelland, TX",Micropolitan Statistical Area,Central
2817,TX,48,Blanco,Blanco County,31,2688.0,0.0,True,,,Rural Area,
2818,TX,48,San Augustine,San Augustine County,405,3200.0,0.0,True,,,Rural Area,
2819,TX,48,Baylor,Baylor County,23,3074.0,0.0,True,,,Rural Area,
2820,TX,48,Bastrop,Bastrop County,21,8700.0,250.0,True,12420.0,"Austin-Round Rock, TX",Metropolitan Statistical Area,Outlying
2821,TX,48,Val Verde,Val Verde County,465,37210.0,0.0,True,19620.0,"Del Rio, TX",Micropolitan Statistical Area,Central
2822,TX,48,Nueces,Nueces County,355,317200.0,0.0,True,18580.0,"Corpus Christi, TX",Metropolitan Statistical Area,Central
2823,TX,48,Fayette,Fayette County,149,2995.0,0.0,True,,,Rural Area,
2824,TX,48,Mason,Mason County,319,2100.0,0.0,True,,,Rural Area,
2825,TX,48,Castro,Castro County,69,1436.0,0.0,True,,,Rural Area,
2826,TX,48,Angelina,Angelina County,5,44024.0,0.0,True,31260.0,"Lufkin, TX",Micropolitan Statistical Area,Central
2827,TX,48,Edwards,Edwards County,137,0.0,0.0,False,,,Rural Area,
2828,TX,48,Wheeler,Wheeler County,483,0.0,0.0,False,,,Rural Area,
2829,TX,48,Mills,Mills County,333,1710.0,0.0,True,,,Rural Area,
2830,TX,48,Menard,Menard County,327,800.0,0.0,True,,,Rural Area,
2831,TX,48,Ochiltree,Ochiltree County,357,0.0,0.0,False,,,Rural Area,
2832,TX,48,Tyler,Tyler County,457,0.0,0.0,False,,,Rural Area,
2833,TX,48,Walker,Walker County,471,9000.0,0.0,True,26660.0,"Huntsville, TX",Micropolitan Statistical Area,Central
2834,TX,48,Houston,Houston County,225,9216.0,0.0,True,,,Rural Area,
2835,TX,48,Denton,Denton County,121,385326.0,0.0,True,19100.0,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Outlying
2836,TX,48,Dickens,Dickens County,125,0.0,0.0,False,,,Rural Area,
