,"County, State",Percent of occupied housing units lacking complete plumbing facilities
2659,"Mason County, West Virginia",0.1
2660,"Alleghany County, Virginia",0.1
2661,"Albemarle County, Virginia",0.1
2662,"McLean County, Kentucky",0.1
2663,"Hancock County, West Virginia",0.1
2664,"Monongalia County, West Virginia",0.1
2665,"Osage County, Kansas",0.1
2666,"Cherry County, Nebraska",0.1
2667,"Sharkey County, Mississippi",0.1
2668,"Orange County, Virginia",0.1
2669,"Douglas County, Kansas",0.1
2670,"Carson City, Nevada",0.1
2671,"Burlington County, New Jersey",0.1
2672,"Summit County, Colorado",0.1
2673,"Nottoway County, Virginia",0.1
2674,"Gloucester County, New Jersey",0.1
2675,"Hunterdon County, New Jersey",0.1
2676,"Rowan County, Kentucky",0.1
2677,"Victoria County, Texas",0.1
2678,"Warren County, New Jersey",0.1
2679,"Prince George County, Virginia",0.1
2680,"Taylor County, Kentucky",0.1
2681,"Sweet Grass County, Montana",0.1
2682,"Roanoke County, Virginia",0.1
2683,"Walla Walla County, Washington",0.1
2684,"Jackson County, Florida",0.1
2685,"Cabell County, West Virginia",0.1
2686,"Juab County, Utah",0.1
2687,"Carroll County, Missouri",0.1
2688,"Cass County, Nebraska",0.1
2689,"Pawnee County, Kansas",0.1
2690,"Placer County, California",0.1
2691,"Perry County, Missouri",0.1
2692,"Wayne County, Nebraska",0.1
2693,"Grand County, Utah",0.1
2694,"Andrew County, Missouri",0.1
2695,"Morgan County, Kentucky",0.1
2696,"Louisa County, Virginia",0.1
2697,"Cache County, Utah",0.1
2698,"Lyon County, Nevada",0.1
2699,"Randolph County, Missouri",0.1
2700,"Indian River County, Florida",0.1
2701,"Chester County, South Carolina",0.1
2702,"Greene County, Iowa",0.1
2703,"Lee County, Mississippi",0.1
2704,"Ottawa County, Michigan",0.1
2705,"Wood County, Ohio",0.1
2706,"Wyandot County, Ohio",0.1
2707,"Jackson County, Indiana",0.1
2708,"Knox County, Tennessee",0.1
2709,"Queen Anne's County, Maryland",0.1
2710,"Wilkinson County, Georgia",0.1
2711,"Canadian County, Oklahoma",0.1
2712,"Hendricks County, Indiana",0.1
2713,"Cotton County, Oklahoma",0.1
2714,"Hamblen County, Tennessee",0.1
2715,"St. Clair County, Alabama",0.1
2716,"Fremont County, Idaho",0.1
2717,"Fayette County, Tennessee",0.1
2718,"Elkhart County, Indiana",0.1
2719,"Otsego County, Michigan",0.1
2720,"Pike County, Alabama",0.1
2721,"Daviess County, Indiana",0.1
2722,"Pickens County, Alabama",0.1
2723,"Clay County, Indiana",0.1
2724,"Cassia County, Idaho",0.1
2725,"Dukes County, Massachusetts",0.1
2726,"Boone County, Indiana",0.1
2727,"Jennings County, Indiana",0.1
2728,"Madison County, Tennessee",0.1
2729,"Marion County, Tennessee",0.1
2730,"Maury County, Tennessee",0.1
2731,"Greene County, Ohio",0.1
2732,"Williamson County, Tennessee",0.1
2733,"Henry County, Ohio",0.1
2734,"Noble County, Indiana",0.1
2735,"Huron County, Ohio",0.1
2736,"Clay County, Arkansas",0.1
2737,"Clark County, Arkansas",0.1
2738,"Chicot County, Arkansas",0.1
2739,"Madison County, Ohio",0.1
2740,"Stewart County, Tennessee",0.1
2741,"Marshall County, Indiana",0.1
2742,"Miami County, Ohio",0.1
2743,"Clay County, Minnesota",0.1
2744,"Perry County, Ohio",0.1
2745,"Benton County, Arkansas",0.1
2746,"Putnam County, Tennessee",0.1
2747,"Ben Hill County, Georgia",0.1
2748,"Ware County, Georgia",0.1
2749,"Warren County, Georgia",0.1
2750,"Obion County, Tennessee",0.1
2751,"Ashley County, Arkansas",0.1
2752,"Blount County, Tennessee",0.1
2753,"Bedford County, Tennessee",0.1
2754,"Clinton County, Ohio",0.1
2755,"Marion County, South Carolina",0.1
2756,"Montgomery County, Illinois",0.1
2757,"Eaton County, Michigan",0.1
2758,"Dickinson County, Michigan",0.1
2759,"Massac County, Illinois",0.1
2760,"Mason County, Illinois",0.1
2761,"Madison County, Illinois",0.1
2762,"Lackawanna County, Pennsylvania",0.1
2763,"McHenry County, Illinois",0.1
2764,"Arenac County, Michigan",0.1
2765,"Pike County, Pennsylvania",0.1
2766,"Cheboygan County, Michigan",0.1
2767,"Anderson County, Tennessee",0.1
2768,"Union County, Pennsylvania",0.1
2769,"Jo Daviess County, Illinois",0.1
2770,"Wyoming County, Pennsylvania",0.1
2771,"Bristol County, Rhode Island",0.1
2772,"Horry County, South Carolina",0.1
2773,"Bamberg County, South Carolina",0.1
2774,"Iroquois County, Illinois",0.1
2775,"Fulton County, Illinois",0.1
2776,"Dorchester County, South Carolina",0.1
2777,"Hancock County, Illinois",0.1
2778,"Allegan County, Michigan",0.1
2779,"Gogebic County, Michigan",0.1
2780,"Sangamon County, Illinois",0.1
2781,"Harney County, Oregon",0.1
2782,"Marengo County, Alabama",0.1
2783,"Union County, South Dakota",0.1
2784,"Payne County, Oklahoma",0.1
2785,"Mason County, Michigan",0.1
2786,"Williamson County, Illinois",0.1
2787,"Keweenaw County, Michigan",0.1
2788,"Woods County, Oklahoma",0.1
2789,"Teton County, Idaho",0.1
2790,"Lincoln County, South Dakota",0.1
2791,"Houston County, Alabama",0.1
2792,"Henry County, Alabama",0.1
2793,"Benton County, Oregon",0.1
2794,"Iosco County, Michigan",0.1
2795,"Tazewell County, Illinois",0.1
2796,"Franklin County, Alabama",0.1
2797,"Alexander County, Illinois",0.1
2798,"Stark County, Illinois",0.1
2799,"Escambia County, Alabama",0.1
2800,"Huron County, Michigan",0.1
2801,"Bureau County, Illinois",0.1
2802,"DeKalb County, Alabama",0.1
2803,"Goodhue County, Minnesota",0.1
2804,"Walton County, Georgia",0.1
2805,"Champaign County, Ohio",0.1
2806,"Watonwan County, Minnesota",0.1
2807,"Durham County, North Carolina",0.1
2808,"Decatur County, Georgia",0.1
2809,"Granville County, North Carolina",0.1
2810,"St. Croix County, Wisconsin",0.1
2811,"Henderson County, North Carolina",0.1
2812,"Phillips County, Arkansas",0.1
2813,"Johnston County, North Carolina",0.1
2814,"Butler County, Ohio",0.1
2815,"Franklin County, Iowa",0.1
2816,"Floyd County, Iowa",0.1
2817,"Coffee County, Georgia",0.1
2818,"Fayette County, Iowa",0.1
2819,"Washington County, Minnesota",0.1
2820,"Richmond County, North Carolina",0.1
2821,"Dallas County, Iowa",0.1
2822,"Rowan County, North Carolina",0.1
2823,"Washington County, Wisconsin",0.1
2824,"Scotland County, North Carolina",0.1
2825,"Winn Parish, Louisiana",0.1
2826,"Gordon County, Georgia",0.1
2827,"St. Charles Parish, Louisiana",0.1
2828,"Cobb County, Georgia",0.1
2829,"Grady County, Georgia",0.1
2830,"Alleghany County, North Carolina",0.1
2831,"Jefferson County, Wisconsin",0.1
2832,"Kossuth County, Iowa",0.1
2833,"Juneau County, Wisconsin",0.1
2834,"Lafayette County, Mississippi",0.1
2835,"White County, Arkansas",0.1
2836,"Bulloch County, Georgia",0.1
2837,"Jackson County, Mississippi",0.1
2838,"Alexander County, North Carolina",0.1
2839,"Humphreys County, Mississippi",0.1
2840,"Anson County, North Carolina",0.1
2841,"Dare County, North Carolina",0.1
2842,"Beaufort County, North Carolina",0.1
2843,"Iowa County, Iowa",0.1
2844,"Humboldt County, Iowa",0.1
2845,"Cabarrus County, North Carolina",0.1
2846,"Harrison County, Mississippi",0.1
2847,"Harrison County, Iowa",0.1
2848,"George County, Mississippi",0.1
2849,"Oneida County, Wisconsin",0.1
2850,"Ozaukee County, Wisconsin",0.1
2851,"Clinton County, Iowa",0.1
2852,"Roanoke city, Virginia",0.1
2853,"Bottineau County, North Dakota",0.1
2854,"Sibley County, Minnesota",0.1
2855,"Benton County, Iowa",0.1
2856,"Stearns County, Minnesota",0.1
2857,"Jones County, Georgia",0.1
2858,"Lyon County, Minnesota",0.1
2859,"McLeod County, Minnesota",0.1
2860,"Meeker County, Minnesota",0.1
2861,"McLean County, North Dakota",0.1
2862,"Jasper County, Georgia",0.1
2863,"Converse County, Wyoming",0.1
2864,"Carbon County, Wyoming",0.1
2865,"Lincoln County, Minnesota",0.1
2866,"Renville County, Minnesota",0.1
2867,"Ward County, North Dakota",0.1
2868,"Peach County, Georgia",0.1
2869,"Black Hawk County, Iowa",0.1
2870,"Habersham County, Georgia",0.1
2871,"Erath County, Texas",0.1
2872,"Vance County, North Carolina",0.1
2873,"Shelby County, Indiana",0.1
2874,"Hinsdale County, Colorado",0.0
2875,"Bourbon County, Kentucky",0.0
2876,"Elbert County, Colorado",0.0
2877,"Waynesboro city, Virginia",0.0
2878,"Sublette County, Wyoming",0.0
2879,"Wallace County, Kansas",0.0
2880,"Lake of the Woods County, Minnesota",0.0
2881,"Bullock County, Alabama",0.0
2882,"Barry County, Michigan",0.0
2883,"Mineral County, West Virginia",0.0
2884,"Cherokee County, Alabama",0.0
2885,"Menominee County, Wisconsin",0.0
2886,"Columbia County, Arkansas",0.0
2887,"Howard County, Arkansas",0.0
2888,"Teton County, Wyoming",0.0
2889,"Kittson County, Minnesota",0.0
2890,"Dallas County, Arkansas",0.0
2891,"Carter County, Montana",0.0
2892,"Daniels County, Montana",0.0
2893,"Alpine County, California",0.0
2894,"Cameron Parish, Louisiana",0.0
2895,"Vieques Municipio, Puerto Rico",0.0
2896,"Metcalfe County, Kentucky",0.0
2897,"Lamar County, Mississippi",0.0
2898,"Grant County, Minnesota",0.0
2899,"Garfield County, Washington",0.0
2900,"Winchester city, Virginia",0.0
2901,"Williamsburg city, Virginia",0.0
2902,"Washakie County, Wyoming",0.0
2903,"Broadwater County, Montana",0.0
2904,"Wichita County, Kansas",0.0
2905,"Boone County, Kentucky",0.0
2906,"Tunica County, Mississippi",0.0
2907,"Modoc County, California",0.0
2908,"Marshall County, Mississippi",0.0
2909,"Simpson County, Kentucky",0.0
2910,"Luce County, Michigan",0.0
2911,"Elliott County, Kentucky",0.0
2912,"Wilkin County, Minnesota",0.0
2913,"Rock County, Minnesota",0.0
2914,"Wilkinson County, Mississippi",0.0
2915,"Kings County, California",0.0
2916,"Traverse County, Minnesota",0.0
2917,"Marion County, Missouri",0.0
2918,"Big Stone County, Minnesota",0.0
2919,"Winnebago County, Wisconsin",0.0
2920,"Green County, Kentucky",0.0
2921,"Grant County, West Virginia",0.0
2922,"Roscommon County, Michigan",0.0
2923,"Fulton County, Kentucky",0.0
2924,"Union County, Mississippi",0.0
2925,"Mississippi County, Missouri",0.0
2926,"Putnam County, Missouri",0.0
2927,"Leelanau County, Michigan",0.0
2928,"Cheyenne County, Colorado",0.0
2929,"Holt County, Missouri",0.0
2930,"Conecuh County, Alabama",0.0
2931,"Montgomery County, Kentucky",0.0
2932,"Franklin County, Mississippi",0.0
2933,"Baca County, Colorado",0.0
2934,"Shelby County, Missouri",0.0
2935,"Scott County, Missouri",0.0
2936,"Clay County, Mississippi",0.0
2937,"Scotland County, Missouri",0.0
2938,"Perry County, Arkansas",0.0
2939,"Chickasaw County, Mississippi",0.0
2940,"Ste. Genevieve County, Missouri",0.0
2941,"Geneva County, Alabama",0.0
2942,"Woodford County, Kentucky",0.0
2943,"Naguabo Municipio, Puerto Rico",0.0
2944,"Arkansas County, Arkansas",0.0
2945,"Jackson County, Colorado",0.0
2946,"Monroe County, Arkansas",0.0
2947,"Yoakum County, Texas",0.0
2948,"Fergus County, Montana",0.0
2949,"Culberson County, Texas",0.0
2950,"Lincoln County, Georgia",0.0
2951,"Buena Vista County, Iowa",0.0
2952,"Cottle County, Texas",0.0
2953,"Jenkins County, Georgia",0.0
2954,"Crockett County, Texas",0.0
2955,"Eddy County, North Dakota",0.0
2956,"Dallam County, Texas",0.0
2957,"Candler County, Georgia",0.0
2958,"Divide County, North Dakota",0.0
2959,"Dawson County, Texas",0.0
2960,"Dickey County, North Dakota",0.0
2961,"Bowman County, North Dakota",0.0
2962,"Heard County, Georgia",0.0
2963,"Benson County, North Dakota",0.0
2964,"Coke County, Texas",0.0
2965,"McDuffie County, Georgia",0.0
2966,"Childress County, Texas",0.0
2967,"Castro County, Texas",0.0
2968,"Oliver County, North Dakota",0.0
2969,"Pierce County, North Dakota",0.0
2970,"Miller County, Georgia",0.0
2971,"Ramsey County, North Dakota",0.0
2972,"Ransom County, North Dakota",0.0
2973,"Steele County, North Dakota",0.0
2974,"Starke County, Indiana",0.0
2975,"Wells County, North Dakota",0.0
2976,"Williams County, North Dakota",0.0
2977,"Bailey County, Texas",0.0
2978,"Putnam County, Indiana",0.0
2979,"Armstrong County, Texas",0.0
2980,"Andrews County, Texas",0.0
2981,"Haralson County, Georgia",0.0
2982,"Edwards County, Texas",0.0
2983,"Clay County, Iowa",0.0
2984,"Jackson County, Texas",0.0
2985,"Chattahoochee County, Georgia",0.0
2986,"Camden County, North Carolina",0.0
2987,"Caswell County, North Carolina",0.0
2988,"Cherokee County, North Carolina",0.0
2989,"Chowan County, North Carolina",0.0
2990,"Clay County, Georgia",0.0
2991,"Knox County, Texas",0.0
2992,"King County, Texas",0.0
2993,"Kent County, Texas",0.0
2994,"Kenedy County, Texas",0.0
2995,"Hancock County, Iowa",0.0
2996,"Jim Hogg County, Texas",0.0
2997,"Crawford County, Georgia",0.0
2998,"Dawson County, Georgia",0.0
2999,"Grundy County, Iowa",0.0
3000,"Floyd County, Texas",0.0
3001,"Dodge County, Georgia",0.0
3002,"Dooly County, Georgia",0.0
3003,"Hoke County, North Carolina",0.0
3004,"Hyde County, North Carolina",0.0
3005,"Echols County, Georgia",0.0
3006,"Elbert County, Georgia",0.0
3007,"Hartley County, Texas",0.0
3008,"Montgomery County, North Carolina",0.0
3009,"Hansford County, Texas",0.0
3010,"Person County, North Carolina",0.0
3011,"Delaware County, Iowa",0.0
3012,"Glasscock County, Texas",0.0
3013,"Glascock County, Georgia",0.0
3014,"Swain County, North Carolina",0.0
3015,"Hancock County, Ohio",0.0
3016,"Stewart County, Georgia",0.0
3017,"Sumter County, Georgia",0.0
3018,"Day County, South Dakota",0.0
3019,"Mellette County, South Dakota",0.0
3020,"Meade County, South Dakota",0.0
3021,"Washington County, Illinois",0.0
3022,"Lawrence County, South Dakota",0.0
3023,"Lake County, South Dakota",0.0
3024,"Jones County, South Dakota",0.0
3025,"Jerauld County, South Dakota",0.0
3026,"Hyde County, South Dakota",0.0
3027,"Harding County, South Dakota",0.0
3028,"Hand County, South Dakota",0.0
3029,"Haakon County, South Dakota",0.0
3030,"Brown County, Illinois",0.0
3031,"Faulk County, South Dakota",0.0
3032,"Edmunds County, South Dakota",0.0
3033,"Putnam County, Illinois",0.0
3034,"Power County, Idaho",0.0
3035,"Clark County, Illinois",0.0
3036,"Moultrie County, Illinois",0.0
3037,"Clark County, South Dakota",0.0
3038,"Butte County, South Dakota",0.0
3039,"Monroe County, Illinois",0.0
3040,"Menard County, Illinois",0.0
3041,"DeKalb County, Illinois",0.0
3042,"De Witt County, Illinois",0.0
3043,"Logan County, Illinois",0.0
3044,"Edgar County, Illinois",0.0
3045,"McCormick County, South Carolina",0.0
3046,"Jersey County, Illinois",0.0
3047,"Gallatin County, Illinois",0.0
3048,"Hamilton County, Illinois",0.0
3049,"Moody County, South Dakota",0.0
3050,"Oneida County, Idaho",0.0
3051,"Tattnall County, Georgia",0.0
3052,"Hancock County, Indiana",0.0
3053,"Terrell County, Georgia",0.0
3054,"Turner County, Georgia",0.0
3055,"Roane County, Tennessee",0.0
3056,"Webster County, Georgia",0.0
3057,"Johnson County, Indiana",0.0
3058,"Wheeler County, Georgia",0.0
3059,"Jasper County, Indiana",0.0
3060,"Wilkes County, Georgia",0.0
3061,"Beaver County, Oklahoma",0.0
3062,"Humphreys County, Tennessee",0.0
3063,"Blaine County, Oklahoma",0.0
3064,"Kalawao County, Hawaii",0.0
3065,"Cimarron County, Oklahoma",0.0
3066,"Coal County, Oklahoma",0.0
3067,"Fulton County, Indiana",0.0
3068,"Potter County, South Dakota",0.0
3069,"Greer County, Oklahoma",0.0
3070,"Harmon County, Oklahoma",0.0
3071,"Blaine County, Idaho",0.0
3072,"Kingfisher County, Oklahoma",0.0
3073,"Camas County, Idaho",0.0
3074,"Carroll County, Indiana",0.0
3075,"Custer County, Idaho",0.0
3076,"Blackford County, Indiana",0.0
3077,"Franklin County, Idaho",0.0
3078,"Gem County, Idaho",0.0
3079,"Benton County, Indiana",0.0
3080,"Walworth County, South Dakota",0.0
3081,"Woodford County, Illinois",0.0
3082,"Sanborn County, South Dakota",0.0
3083,"Loving County, Texas",0.0
3084,"Mason County, Texas",0.0
3085,"Poquoson city, Virginia",0.0
3086,"Banner County, Nebraska",0.0
3087,"King and Queen County, Virginia",0.0
3088,"Lancaster County, Virginia",0.0
3089,"Boone County, Nebraska",0.0
3090,"Blaine County, Nebraska",0.0
3091,"Lunenburg County, Virginia",0.0
3092,"Madison County, Virginia",0.0
3093,"Arthur County, Nebraska",0.0
3094,"Butts County, Georgia",0.0
3095,"Wibaux County, Montana",0.0
3096,"Nelson County, Virginia",0.0
3097,"Teller County, Colorado",0.0
3098,"Sedgwick County, Colorado",0.0
3099,"Routt County, Colorado",0.0
3100,"Valley County, Montana",0.0
3101,"Cedar County, Nebraska",0.0
3102,"Chase County, Nebraska",0.0
3103,"Greensville County, Virginia",0.0
3104,"Norton County, Kansas",0.0
3105,"Ness County, Kansas",0.0
3106,"Morton County, Kansas",0.0
3107,"Franklin County, Nebraska",0.0
3108,"Essex County, Virginia",0.0
3109,"Mitchell County, Kansas",0.0
3110,"Cumberland County, Virginia",0.0
3111,"Garden County, Nebraska",0.0
3112,"Gosper County, Nebraska",0.0
3113,"Grant County, Nebraska",0.0
3114,"Carroll County, Virginia",0.0
3115,"Hayes County, Nebraska",0.0
3116,"Lane County, Kansas",0.0
3117,"Kiowa County, Kansas",0.0
3118,"Powhatan County, Virginia",0.0
3119,"Treasure County, Montana",0.0
3120,"Rawlins County, Kansas",0.0
3121,"Covington city, Virginia",0.0
3122,"Lake County, Colorado",0.0
3123,"Garfield County, Montana",0.0
3124,"Golden Valley County, Montana",0.0
3125,"Martinsville city, Virginia",0.0
3126,"Stevens County, Kansas",0.0
3127,"Stanton County, Kansas",0.0
3128,"Hopewell city, Virginia",0.0
3129,"Liberty County, Montana",0.0
3130,"Galax city, Virginia",0.0
3131,"Smith County, Kansas",0.0
3132,"Falls Church city, Virginia",0.0
3133,"Fairfax city, Virginia",0.0
3134,"Sherman County, Kansas",0.0
3135,"Danville city, Virginia",0.0
3136,"Colonial Heights city, Virginia",0.0
3137,"Richmond County, Virginia",0.0
3138,"Meagher County, Montana",0.0
3139,"Buena Vista city, Virginia",0.0
3140,"Bristol city, Virginia",0.0
3141,"Mineral County, Colorado",0.0
3142,"Seward County, Kansas",0.0
3143,"Petroleum County, Montana",0.0
3144,"Surry County, Virginia",0.0
3145,"Powder River County, Montana",0.0
3146,"Prairie County, Montana",0.0
3147,"Scott County, Kansas",0.0
3148,"Ouray County, Colorado",0.0
3149,"Phillips County, Colorado",0.0
3150,"Riley County, Kansas",0.0
3151,"Rockbridge County, Virginia",0.0
3152,"Bland County, Virginia",0.0
3153,"Baker County, Florida",0.0
3154,"Keya Paha County, Nebraska",0.0
3155,"Palo Alto County, Iowa",0.0
3156,"Chase County, Kansas",0.0
3157,"Upton County, Texas",0.0
3158,"Tyler County, Texas",0.0
3159,"Wright County, Iowa",0.0
3160,"Winneshiek County, Iowa",0.0
3161,"Harding County, New Mexico",0.0
3162,"Luna County, New Mexico",0.0
3163,"Stonewall County, Texas",0.0
3164,"Sterling County, Texas",0.0
3165,"Stephens County, Texas",0.0
3166,"Sherman County, Texas",0.0
3167,"Shelby County, Iowa",0.0
3168,"Shackelford County, Texas",0.0
3169,"Pocahontas County, Iowa",0.0
3170,"Reagan County, Texas",0.0
3171,"Doniphan County, Kansas",0.0
3172,"Presidio County, Texas",0.0
3173,"Bacon County, Georgia",0.0
3174,"Lyon County, Iowa",0.0
3175,"Baker County, Georgia",0.0
3176,"Ochiltree County, Texas",0.0
3177,"Banks County, Georgia",0.0
3178,"Motley County, Texas",0.0
3179,"Moore County, Texas",0.0
3180,"Jones County, Iowa",0.0
3181,"Mitchell County, Texas",0.0
3182,"Mills County, Texas",0.0
3183,"Brooks County, Georgia",0.0
3184,"Bryan County, Georgia",0.0
3185,"Jefferson County, Iowa",0.0
3186,"Comanche County, Kansas",0.0
3187,"Storey County, Nevada",0.0
3188,"Lincoln County, Nebraska",0.0
3189,"Thomas County, Nebraska",0.0
3190,"Amelia County, Virginia",0.0
3191,"Logan County, Nebraska",0.0
3192,"Loup County, Nebraska",0.0
3193,"McPherson County, Nebraska",0.0
3194,"Jefferson County, Kansas",0.0
3195,"Hodgeman County, Kansas",0.0
3196,"Phelps County, Nebraska",0.0
3197,"Pierce County, Nebraska",0.0
3198,"Red Willow County, Nebraska",0.0
3199,"Wayne County, Utah",0.0
3200,"Sheridan County, Nebraska",0.0
3201,"Sherman County, Nebraska",0.0
3202,"Hamilton County, Kansas",0.0
3203,"Sevier County, Utah",0.0
3204,"Rich County, Utah",0.0
3205,"Edwards County, Kansas",0.0
3206,"Greeley County, Kansas",0.0
3207,"Morgan County, Utah",0.0
3208,"Washington County, Nebraska",0.0
3209,"Gray County, Kansas",0.0
3210,"Grant County, Kansas",0.0
3211,"Gove County, Kansas",0.0
3212,"Esmeralda County, Nevada",0.0
3213,"Lander County, Nevada",0.0
3214,"Lincoln County, Nevada",0.0
3215,"Beaver County, Utah",0.0
3216,"Zapata County, Texas",0.0
3217,"Cherokee County, South Carolina",0.0
3218,"Jefferson County, Florida",0.0
3219,"Ellis County, Kansas",0.0
3220,"Deer Lodge County, Montana",0.0
